State - Place,Year,Population,Kulkarni - Rank
 NY - New York City,1990,7322564,1
 CA - Los Angeles,1990,3485398,2
 IL - Chicago,1990,2783726,3
 TX - Houston,1990,1630553,4
 PA - Philadelphia,1990,1585577,5
 CA - San Diego,1990,1110549,6
 MI - Detroit,1990,1027974,7
 TX - Dallas,1990,1006877,8
 AZ - Phoenix,1990,983403,9
 TX - San Antonio,1990,935933,10
 CA - San Jose,1990,782248,11
 MD - Baltimore,1990,736014,12
 IN - Indianapolis,1990,731327,13
 CA - San Francisco,1990,723959,14
 FL - Jacksonville,1990,635230,15
 OH - Columbus,1990,632910,16
 WI - Milwaukee,1990,628088,17
 TN - Memphis,1990,610337,18
 DC - Washington,1990,606900,19
 MA - Boston,1990,574283,20
 WA - Seattle,1990,516259,21
 TX - El Paso,1990,515342,22
 OH - Cleveland,1990,505616,23
 LA - New Orleans,1990,496938,24
 TN - Nashville-Davidson,1990,488374,25
 CO - Denver,1990,467610,26
 TX - Austin,1990,465622,27
 TX - Fort Worth,1990,447619,28
 OK - Oklahoma City,1990,444719,29
 OR - Portland,1990,437319,30
 MO - Kansas City,1990,435146,31
 CA - Long Beach,1990,429433,32
 AZ - Tucson,1990,405390,33
 MO - St. Louis,1990,396685,34
 NC - Charlotte,1990,395934,35
 GA - Atlanta,1990,394017,36
 VA - Virginia Beach,1990,393069,37
 NM - Albuquerque,1990,384736,38
 CA - Oakland,1990,372242,39
 PA - Pittsburgh,1990,369879,40
 CA - Sacramento,1990,369365,41
 MN - Minneapolis,1990,368383,42
 OK - Tulsa,1990,367302,43
 HI - Honolulu,1990,365272,44
 OH - Cincinnati,1990,364040,45
 FL - Miami,1990,358548,46
 CA - Fresno,1990,354202,47
 NE - Omaha,1990,335795,48
 OH - Toledo,1990,332943,49
 NY - Buffalo,1990,328123,50
 KS - Wichita,1990,304011,51
 CA - Santa Ana,1990,293742,52
 AZ - Mesa,1990,288091,53
 CO - Colorado Springs,1990,281140,54
 FL - Tampa,1990,280015,55
 NJ - Newark,1990,275221,56
 MN - Saint Paul,1990,272235,57
 KY - Louisville,1990,269063,58
 CA - Anaheim,1990,266406,59
 AL - Birmingham,1990,265968,60
 TX - Arlington,1990,261721,61
 VA - Norfolk,1990,261229,62
 NV - Las Vegas,1990,258295,63
 TX - Corpus Christi,1990,257453,64
 FL - St. Petersburg,1990,238629,65
 NY - Rochester,1990,231636,66
 NJ - Jersey City,1990,228537,67
 CA - Riverside,1990,226505,68
 AK - Anchorage,1990,226338,69
 KY - Lexington,1990,225366,70
 OH - Akron,1990,223019,71
 CO - Aurora,1990,222103,72
 LA - Baton Rouge,1990,219531,73
 CA - Stockton,1990,210943,74
 NC - Raleigh,1990,207951,75
 VA - Richmond,1990,203056,76
 LA - Shreveport,1990,198525,77
 MS - Jackson,1990,196637,78
 AL - Mobile,1990,196278,79
 IA - Des Moines,1990,193187,80
 NE - Lincoln,1990,191972,81
 WI - Madison,1990,191262,82
 MI - Grand Rapids,1990,189126,83
 NY - Yonkers,1990,188082,84
 FL - Hialeah,1990,188004,85
 AL - Montgomery,1990,187106,86
 TX - Lubbock,1990,186206,87
 NC - Greensboro,1990,183521,88
 OH - Dayton,1990,182044,89
 CA - Huntington Beach,1990,181519,90
 TX - Garland,1990,180650,91
 CA - Glendale,1990,180038,92
 GA - Columbus,1990,178681,93
 WA - Spokane,1990,177196,94
 WA - Tacoma,1990,176664,95
 AR - Little Rock,1990,175795,96
 CA - Bakersfield,1990,174820,97
 CA - Fremont,1990,173339,98
 IN - Fort Wayne,1990,173072,99
 VA - Arlington,1990,170936,100
 NY - New York City,1980,7071639,1
 IL - Chicago,1980,3005072,2
 CA - Los Angeles,1980,2966850,3
 PA - Philadelphia,1980,1688210,4
 TX - Houston,1980,1595138,5
 MI - Detroit,1980,1203339,6
 TX - Dallas,1980,904078,7
 CA - San Diego,1980,875538,8
 AZ - Phoenix,1980,789704,9
 MD - Baltimore,1980,786775,10
 TX - San Antonio,1980,785880,11
 IN - Indianapolis,1980,700807,12
 CA - San Francisco,1980,678974,13
 TN - Memphis,1980,646356,14
 DC - Washington,1980,638333,15
 WI - Milwaukee,1980,636212,16
 CA - San Jose,1980,629442,17
 OH - Cleveland,1980,573822,18
 OH - Columbus,1980,564871,19
 MA - Boston,1980,562994,20
 LA - New Orleans,1980,557515,21
 FL - Jacksonville,1980,540920,22
 WA - Seattle,1980,493846,23
 CO - Denver,1980,492365,24
 TN - Nashville-Davidson,1980,455651,25
 MO - St. Louis,1980,453085,26
 MO - Kansas City,1980,448159,27
 TX - El Paso,1980,425259,28
 GA - Atlanta,1980,425022,29
 PA - Pittsburgh,1980,423938,30
 OK - Oklahoma City,1980,403213,31
 OH - Cincinnati,1980,385457,32
 TX - Fort Worth,1980,385164,33
 MN - Minneapolis,1980,370951,34
 OR - Portland,1980,366383,35
 HI - Honolulu,1980,365048,36
 CA - Long Beach,1980,361334,37
 OK - Tulsa,1980,360919,38
 NY - Buffalo,1980,357870,39
 OH - Toledo,1980,354635,40
 FL - Miami,1980,346865,41
 TX - Austin,1980,345496,42
 CA - Oakland,1980,339337,43
 NM - Albuquerque,1980,331767,44
 AZ - Tucson,1980,330537,45
 NJ - Newark,1980,329248,46
 NC - Charlotte,1980,314447,47
 NE - Omaha,1980,314255,48
 KY - Louisville,1980,298451,49
 AL - Birmingham,1980,284413,50
 KS - Wichita,1980,279272,51
 CA - Sacramento,1980,275741,52
 FL - Tampa,1980,271523,53
 MN - Saint Paul,1980,270230,54
 VA - Norfolk,1980,266979,55
 VA - Virginia Beach,1980,262199,56
 NY - Rochester,1980,241741,57
 FL - St. Petersburg,1980,238647,58
 OH - Akron,1980,237177,59
 TX - Corpus Christi,1980,231999,60
 NJ - Jersey City,1980,223532,61
 LA - Baton Rouge,1980,219419,62
 CA - Anaheim,1980,219311,63
 VA - Richmond,1980,219214,64
 CA - Fresno,1980,218202,65
 CO - Colorado Springs,1980,215150,66
 LA - Shreveport,1980,205820,67
 KY - Lexington,1980,204165,68
 CA - Santa Ana,1980,203713,69
 OH - Dayton,1980,203371,70
 MS - Jackson,1980,202895,71
 AL - Mobile,1980,200452,72
 NY - Yonkers,1980,195351,73
 IA - Des Moines,1980,191003,74
 MI - Grand Rapids,1980,181843,75
 AL - Montgomery,1980,177857,76
 TN - Knoxville,1980,175030,77
 AK - Anchorage,1980,174431,78
 TX - Lubbock,1980,173979,79
 IN - Fort Wayne,1980,172196,80
 NE - Lincoln,1980,171932,81
 WA - Spokane,1980,171300,82
 CA - Riverside,1980,170876,83
 WI - Madison,1980,170616,84
 CA - Huntington Beach,1980,170505,85
 NY - Syracuse,1980,170105,86
 TN - Chattanooga,1980,169565,87
 GA - Columbus,1980,169441,88
 NV - Las Vegas,1980,164674,89
 LA - Metairie,1980,164160,90
 UT - Salt Lake City,1980,163033,91
 MA - Worcester,1980,161799,92
 MI - Warren,1980,161134,93
 KS - Kansas City,1980,161087,94
 TX - Arlington,1980,160113,95
 MI - Flint,1980,159611,96
 CO - Aurora,1980,158588,97
 WA - Tacoma,1980,158501,98
 AR - Little Rock,1980,158461,99
 RI - Providence,1980,156804,100
 NY - New York City,1970,7894862,1
 IL - Chicago,1970,3366957,2
 CA - Los Angeles,1970,2816061,3
 PA - Philadelphia,1970,1948609,4
 MI - Detroit,1970,1511482,5
 TX - Houston,1970,1232802,6
 MD - Baltimore,1970,905759,7
 TX - Dallas,1970,844401,8
 DC - Washington,1970,756510,9
 OH - Cleveland,1970,750903,10
 IN - Indianapolis,1970,744624,11
 WI - Milwaukee,1970,717099,12
 CA - San Francisco,1970,715674,13
 CA - San Diego,1970,696769,14
 TX - San Antonio,1970,654153,15
 MA - Boston,1970,641071,16
 TN - Memphis,1970,623530,17
 MO - St. Louis,1970,622236,18
 LA - New Orleans,1970,593471,19
 AZ - Phoenix,1970,581562,20
 OH - Columbus,1970,539677,21
 WA - Seattle,1970,530831,22
 FL - Jacksonville,1970,528865,23
 PA - Pittsburgh,1970,520117,24
 CO - Denver,1970,514678,25
 MO - Kansas City,1970,507087,26
 GA - Atlanta,1970,496973,27
 NY - Buffalo,1970,462768,28
 OH - Cincinnati,1970,452524,29
 TN - Nashville-Davidson,1970,448003,30
 CA - San Jose,1970,445779,31
 MN - Minneapolis,1970,434400,32
 TX - Fort Worth,1970,393476,33
 OH - Toledo,1970,383818,34
 OR - Portland,1970,382619,35
 NJ - Newark,1970,382417,36
 OK - Oklahoma City,1970,366481,37
 CA - Oakland,1970,361561,38
 KY - Louisville,1970,361472,39
 CA - Long Beach,1970,358633,40
 NE - Omaha,1970,347328,41
 FL - Miami,1970,334859,42
 OK - Tulsa,1970,331638,43
 HI - Honolulu,1970,324871,44
 TX - El Paso,1970,322261,45
 MN - Saint Paul,1970,309980,46
 VA - Norfolk,1970,307951,47
 AL - Birmingham,1970,300910,48
 NY - Rochester,1970,296233,49
 FL - Tampa,1970,277767,50
 KS - Wichita,1970,276554,51
 OH - Akron,1970,275425,52
 AZ - Tucson,1970,262933,53
 NJ - Jersey City,1970,260545,54
 CA - Sacramento,1970,254413,55
 TX - Austin,1970,251808,56
 VA - Richmond,1970,249621,57
 NM - Albuquerque,1970,243751,58
 OH - Dayton,1970,243601,59
 NC - Charlotte,1970,241178,60
 FL - St. Petersburg,1970,216232,61
 TX - Corpus Christi,1970,204525,62
 NY - Yonkers,1970,204297,63
 IA - Des Moines,1970,200587,64
 MI - Grand Rapids,1970,197649,65
 NY - Syracuse,1970,197208,66
 MI - Flint,1970,193317,67
 AL - Mobile,1970,190026,68
 LA - Shreveport,1970,182064,69
 MI - Warren,1970,179260,70
 RI - Providence,1970,179213,71
 IN - Fort Wayne,1970,177671,72
 MA - Worcester,1970,176572,73
 UT - Salt Lake City,1970,175885,74
 IN - Gary,1970,175415,75
 TN - Knoxville,1970,174587,76
 VA - Arlington,1970,174284,77
 WI - Madison,1970,173258,78
 VA - Virginia Beach,1970,172106,79
 WA - Spokane,1970,170516,80
 KS - Kansas City,1970,168213,81
 CA - Anaheim,1970,166701,82
 CA - Fresno,1970,165972,83
 LA - Baton Rouge,1970,165963,84
 MA - Springfield,1970,163905,85
 CT - Hartford,1970,158017,86
 CA - Santa Ana,1970,156601,87
 CT - Bridgeport,1970,156542,88
 WA - Tacoma,1970,154581,89
 GA - Columbus,1970,154168,90
 MS - Jackson,1970,153968,91
 NE - Lincoln,1970,149518,92
 TX - Lubbock,1970,149101,93
 IL - Rockford,1970,147370,94
 NJ - Paterson,1970,144824,95
 NC - Greensboro,1970,144076,96
 CA - Riverside,1970,140089,97
 OH - Youngstown,1970,139788,98
 FL - Fort Lauderdale,1970,139590,99
 IN - Evansville,1970,138764,100
 NY - New York City,1960,7781984,1
 IL - Chicago,1960,3550404,2
 CA - Los Angeles,1960,2479015,3
 PA - Philadelphia,1960,2002512,4
 MI - Detroit,1960,1670144,5
 MD - Baltimore,1960,939024,6
 TX - Houston,1960,938219,7
 OH - Cleveland,1960,876050,8
 DC - Washington,1960,763956,9
 MO - St. Louis,1960,750026,10
 WI - Milwaukee,1960,741324,11
 CA - San Francisco,1960,740316,12
 MA - Boston,1960,697197,13
 TX - Dallas,1960,679684,14
 LA - New Orleans,1960,627525,15
 PA - Pittsburgh,1960,604332,16
 TX - San Antonio,1960,587718,17
 CA - San Diego,1960,573224,18
 WA - Seattle,1960,557087,19
 NY - Buffalo,1960,532759,20
 OH - Cincinnati,1960,502550,21
 TN - Memphis,1960,497524,22
 CO - Denver,1960,493887,23
 GA - Atlanta,1960,487455,24
 MN - Minneapolis,1960,482872,25
 IN - Indianapolis,1960,476258,26
 MO - Kansas City,1960,475539,27
 OH - Columbus,1960,471316,28
 AZ - Phoenix,1960,439170,29
 NJ - Newark,1960,405220,30
 KY - Louisville,1960,390639,31
 OR - Portland,1960,372676,32
 CA - Oakland,1960,367548,33
 TX - Fort Worth,1960,356268,34
 CA - Long Beach,1960,344168,35
 AL - Birmingham,1960,340887,36
 OK - Oklahoma City,1960,324253,37
 NY - Rochester,1960,318611,38
 OH - Toledo,1960,318003,39
 MN - Saint Paul,1960,313411,40
 VA - Norfolk,1960,305872,41
 NE - Omaha,1960,301598,42
 HI - Honolulu,1960,294194,43
 FL - Miami,1960,291688,44
 OH - Akron,1960,290351,45
 TX - El Paso,1960,276687,46
 NJ - Jersey City,1960,276101,47
 FL - Tampa,1960,274970,48
 OH - Dayton,1960,262332,49
 OK - Tulsa,1960,261685,50
 KS - Wichita,1960,254698,51
 VA - Richmond,1960,219958,52
 NY - Syracuse,1960,216038,53
 AZ - Tucson,1960,212892,54
 IA - Des Moines,1960,208982,55
 RI - Providence,1960,207498,56
 CA - San Jose,1960,204196,57
 AL - Mobile,1960,202779,58
 NC - Charlotte,1960,201564,59
 NM - Albuquerque,1960,201189,60
 FL - Jacksonville,1960,201030,61
 MI - Flint,1960,196940,62
 CA - Sacramento,1960,191667,63
 NY - Yonkers,1960,190634,64
 UT - Salt Lake City,1960,189454,65
 MA - Worcester,1960,186587,66
 TX - Austin,1960,186545,67
 WA - Spokane,1960,181608,68
 FL - St. Petersburg,1960,181298,69
 IN - Gary,1960,178320,70
 MI - Grand Rapids,1960,177313,71
 MA - Springfield,1960,174463,72
 TN - Nashville,1960,170874,73
 TX - Corpus Christi,1960,167690,74
 OH - Youngstown,1960,166689,75
 LA - Shreveport,1960,164372,76
 VA - Arlington,1960,163401,77
 CT - Hartford,1960,162178,78
 IN - Fort Wayne,1960,161776,79
 CT - Bridgeport,1960,156748,80
 LA - Baton Rouge,1960,152419,81
 CT - New Haven,1960,152048,82
 MS - Jackson,1960,144422,83
 NJ - Paterson,1960,143663,84
 IN - Evansville,1960,141543,85
 PA - Erie,1960,138440,86
 TX - Amarillo,1960,137969,87
 AL - Montgomery,1960,134393,88
 CA - Fresno,1960,133929,89
 IN - South Bend,1960,132445,90
 TN - Chattanooga,1960,130009,91
 NY - Albany,1960,129726,92
 TX - Lubbock,1960,128691,93
 NE - Lincoln,1960,128521,94
 WI - Madison,1960,126706,95
 IL - Rockford,1960,126706,96
 KS - Kansas City,1960,121901,97
 NC - Greensboro,1960,119574,98
 NY - New York City,1950,7891957,1
 IL - Chicago,1950,3620962,2
 PA - Philadelphia,1950,2071605,3
 CA - Los Angeles,1950,1970358,4
 MI - Detroit,1950,1849568,5
 MD - Baltimore,1950,949708,6
 OH - Cleveland,1950,914808,7
 MO - St. Louis,1950,856796,8
 DC - Washington,1950,802178,9
 MA - Boston,1950,801444,10
 CA - San Francisco,1950,775357,11
 PA - Pittsburgh,1950,676806,12
 WI - Milwaukee,1950,637392,13
 TX - Houston,1950,596163,14
 NY - Buffalo,1950,580132,15
 LA - New Orleans,1950,570445,16
 MN - Minneapolis,1950,521718,17
 OH - Cincinnati,1950,503998,18
 WA - Seattle,1950,467591,19
 MO - Kansas City,1950,456622,20
 NJ - Newark,1950,438776,21
 TX - Dallas,1950,434462,22
 IN - Indianapolis,1950,427173,23
 CO - Denver,1950,415786,24
 TX - San Antonio,1950,408442,25
 TN - Memphis,1950,396000,26
 CA - Oakland,1950,384575,27
 OH - Columbus,1950,375901,28
 OR - Portland,1950,373628,29
 KY - Louisville,1950,369129,30
 CA - San Diego,1950,334387,31
 NY - Rochester,1950,332488,32
 GA - Atlanta,1950,331314,33
 AL - Birmingham,1950,326037,34
 MN - Saint Paul,1950,311349,35
 OH - Toledo,1950,303616,36
 NJ - Jersey City,1950,299017,37
 TX - Fort Worth,1950,278778,38
 OH - Akron,1950,274605,39
 NE - Omaha,1950,251117,40
 CA - Long Beach,1950,250767,41
 FL - Miami,1950,249276,42
 RI - Providence,1950,248674,43
 OH - Dayton,1950,243872,44
 OK - Oklahoma City,1950,243504,45
 VA - Richmond,1950,230310,46
 NY - Syracuse,1950,220583,47
 VA - Norfolk,1950,213513,48
 FL - Jacksonville,1950,204517,49
 MA - Worcester,1950,203486,50
 OK - Tulsa,1950,182740,51
 UT - Salt Lake City,1950,182121,52
 IA - Des Moines,1950,177965,53
 CT - Hartford,1950,177397,54
 MI - Grand Rapids,1950,176515,55
 TN - Nashville,1950,174307,56
 OH - Youngstown,1950,168330,57
 KS - Wichita,1950,168279,58
 CT - New Haven,1950,164443,59
 MI - Flint,1950,163143,60
 MA - Springfield,1950,162399,61
 WA - Spokane,1950,161721,62
 CT - Bridgeport,1950,158709,63
 NY - Yonkers,1950,152798,64
 WA - Tacoma,1950,143673,65
 NJ - Paterson,1950,139336,66
 CA - Sacramento,1950,137572,67
 VA - Arlington,1950,135449,68
 NY - Albany,1950,134995,69
 NC - Charlotte,1950,134042,70
 IN - Gary,1950,133911,71
 IN - Fort Wayne,1950,133607,72
 TX - Austin,1950,132459,73
 TN - Chattanooga,1950,131041,74
 PA - Erie,1950,130803,75
 TX - El Paso,1950,130485,76
 KS - Kansas City,1950,129553,77
 AL - Mobile,1950,129009,78
 IN - Evansville,1950,128636,79
 NJ - Trenton,1950,128009,80
 LA - Shreveport,1950,127206,81
 LA - Baton Rouge,1950,125629,82
 PA - Scranton,1950,125536,83
 TN - Knoxville,1950,124769,84
 FL - Tampa,1950,124681,85
 NJ - Camden,1950,124555,86
 MA - Cambridge,1950,120740,87
 GA - Savannah,1950,119638,88
 OH - Canton,1950,116912,89
 IN - South Bend,1950,115911,90
 CA - Berkeley,1950,113805,91
 NJ - Elizabeth,1950,112817,92
 MA - Fall River,1950,111963,93
 IL - Peoria,1950,111856,94
 DE - Wilmington,1950,110356,95
 PA - Reading,1950,109320,96
 MA - New Bedford,1950,109189,97
 TX - Corpus Christi,1950,108287,98
 AZ - Phoenix,1950,106818,99
 PA - Allentown,1950,106756,100
 NY - New York City,1940,7454995,1
 IL - Chicago,1940,3396808,2
 PA - Philadelphia,1940,1931334,3
 MI - Detroit,1940,1623452,4
 CA - Los Angeles,1940,1504277,5
 OH - Cleveland,1940,878336,6
 MD - Baltimore,1940,859100,7
 MO - St. Louis,1940,816048,8
 MA - Boston,1940,770816,9
 PA - Pittsburgh,1940,671659,10
 DC - Washington,1940,663091,11
 CA - San Francisco,1940,634536,12
 WI - Milwaukee,1940,587472,13
 NY - Buffalo,1940,575901,14
 LA - New Orleans,1940,494537,15
 MN - Minneapolis,1940,492370,16
 OH - Cincinnati,1940,455610,17
 NJ - Newark,1940,429760,18
 MO - Kansas City,1940,399178,19
 IN - Indianapolis,1940,386972,20
 TX - Houston,1940,384514,21
 WA - Seattle,1940,368302,22
 NY - Rochester,1940,324975,23
 CO - Denver,1940,322412,24
 KY - Louisville,1940,319077,25
 OH - Columbus,1940,306087,26
 OR - Portland,1940,305394,27
 GA - Atlanta,1940,302288,28
 CA - Oakland,1940,302163,29
 NJ - Jersey City,1940,301173,30
 TX - Dallas,1940,294734,31
 TN - Memphis,1940,292942,32
 MN - Saint Paul,1940,287736,33
 OH - Toledo,1940,282349,34
 AL - Birmingham,1940,267583,35
 TX - San Antonio,1940,253854,36
 RI - Providence,1940,253504,37
 OH - Akron,1940,244791,38
 NE - Omaha,1940,223844,39
 OH - Dayton,1940,210718,40
 NY - Syracuse,1940,205967,41
 OK - Oklahoma City,1940,204424,42
 CA - San Diego,1940,203341,43
 MA - Worcester,1940,193694,44
 VA - Richmond,1940,193042,45
 TX - Fort Worth,1940,177662,46
 FL - Jacksonville,1940,173065,47
 FL - Miami,1940,172172,48
 OH - Youngstown,1940,167720,49
 TN - Nashville,1940,167402,50
 CT - Hartford,1940,166267,51
 MI - Grand Rapids,1940,164292,52
 CA - Long Beach,1940,164271,53
 CT - New Haven,1940,160605,54
 IA - Des Moines,1940,159819,55
 MI - Flint,1940,151543,56
 UT - Salt Lake City,1940,149934,57
 MA - Springfield,1940,149554,58
 CT - Bridgeport,1940,147121,59
 VA - Norfolk,1940,144332,60
 NY - Yonkers,1940,142598,61
 OK - Tulsa,1940,142157,62
 PA - Scranton,1940,140404,63
 NJ - Paterson,1940,139656,64
 NY - Albany,1940,130577,65
 TN - Chattanooga,1940,128163,66
 NJ - Trenton,1940,124697,67
 WA - Spokane,1940,122001,68
 KS - Kansas City,1940,121458,69
 IN - Fort Wayne,1940,118410,70
 NJ - Camden,1940,117536,71
 PA - Erie,1940,116955,72
 MA - Fall River,1940,115428,73
 KS - Wichita,1940,114966,74
 DE - Wilmington,1940,112504,75
 IN - Gary,1940,111719,76
 TN - Knoxville,1940,111580,77
 MA - Cambridge,1940,110879,78
 PA - Reading,1940,110568,79
 MA - New Bedford,1940,110341,80
 NJ - Elizabeth,1940,109912,81
 WA - Tacoma,1940,109408,82
 OH - Canton,1940,108401,83
 FL - Tampa,1940,108391,84
 CA - Sacramento,1940,105958,85
 IL - Peoria,1940,105087,86
 MA - Somerville,1940,102177,87
 MA - Lowell,1940,101389,88
 IN - South Bend,1940,101268,89
 MN - Duluth,1940,101065,90
 NC - Charlotte,1940,100899,91
 NY - Utica,1940,100518,92
 CT - Waterbury,1940,99314,93
 LA - Shreveport,1940,98167,94
 MA - Lynn,1940,98123,95
 IN - Evansville,1940,97062,96
 PA - Allentown,1940,96904,97
 TX - El Paso,1940,96810,98
 GA - Savannah,1940,95996,99
 AR - Little Rock,1940,88039,100
 NY - New York City,1930,6930446,1
 IL - Chicago,1930,3376438,2
 PA - Philadelphia,1930,1950961,3
 MI - Detroit,1930,1568662,4
